20000;8
40000;26
60000;57
80000;96
100000;156
120000;216
140000;286
160000;361
180000;455
200000;592
220000;752
240000;947
260000;1219
280000;1396
300000;1796
320000;2100
340000;2296
360000;2511
380000;2735
400000;2994
420000;3256
440000;3516
460000;3789
480000;4066
500000;4346
520000;4666
540000;4981
560000;5298
580000;5626
600000;5981
620000;6354
640000;6732
660000;7151
680000;7568
700000;8005
720000;8664
740000;9337
760000;9903
780000;10483
800000;11111
820000;11812
840000;12508
860000;13233
880000;13966
900000;14776
920000;15582
940000;16335
960000;17219
980000;18030
1000000;18742
