2000;5
4000;19
6000;40
8000;90
10000;150
12000;239
14000;375
16000;530
18000;730
20000;970
22000;1260
24000;1600
26000;2000
28000;2459
30000;2992
32000;3600
34000;4280
36000;5040
38000;5905
40000;6860
42000;8000
44000;9114
46000;10340
48000;11709
50000;13631
52000;15275
54000;17002
56000;19476
58000;22402
60000;25532
62000;28608
64000;32020
66000;35604
68000;39645
70000;43868
72000;48511
74000;53124
76000;57907
78000;62950
80000;68300
82000;73503
84000;79235
86000;85400
88000;91624
90000;98224
92000;104455
94000;109525
96000;114907
98000;120961
100000;128687
