20000;78
40000;228
60000;458
80000;773
100000;1168
120000;1655
140000;2248
160000;2928
180000;3678
200000;4518
220000;5448
240000;6488
260000;7608
280000;8873
300000;10363
320000;11838
340000;13358
360000;14968
380000;16669
400000;18458
420000;20338
440000;22348
460000;24430
480000;26643
500000;28912
520000;31248
540000;33818
560000;36663
580000;39658
600000;42498
620000;45443
640000;48498
660000;51708
680000;55428
700000;60147
720000;65187
740000;70429
760000;75379
780000;80558
800000;85978
820000;91409
840000;97143
860000;103402
880000;109431
900000;115948
920000;122350
940000;128738
960000;135305
980000;142058
1000000;146833
