100;1
200;4
300;14
400;32
500;64
600;112
700;202
800;322
900;487
1000;732
1100;1052
1200;1454
1300;1972
1400;2587
1500;3382
1600;4347
1700;5487
1800;6813
1900;8398
2000;10237
2100;12357
2200;14817
2300;17597
2400;20743
2500;24297
2600;28547
2700;33747
2800;40702
2900;48809
3000;57282
3100;66552
3200;77224
3300;88245
3400;100277
3500;113032
3600;127412
3700;143071
3800;159891
3900;177983
4000;198634
4100;215625
4200;233257
4300;252177
4400;272102
4500;294332
4600;325576
4700;353067
4800;385277
4900;421131
5000;455678
